0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Name
536084480,1137931410,735730181,767330925,1226148556,1065050286,1021331497,903133641,978630733,796739123,271156148,631838552,658371477,521304304,1087967218,823518046,504636344,890241417,909974097,947301406,869334162,1176837044,1256876158,881707253,811490376,697813292,Not Truck
519503871,1095253260,394405536,892941682,1208703810,836055578,742068783,877591897,805660817,550553790,613751614,369506437,1027076299,270721482,726757509,909163703,851901954,398383134,1228668190,1085680696,486234724,1149299232,759483421,98834632,763074454,1166646526,Not Truck
354549759,261059754,350205859,99108580,704136926,594180016,335982667,500503825,189817407,275874272,457139383,156294772,330948526,595485583,237002238,89148221,171862627,182525390,212412862,721512587,507897178,718041100,317066297,503825995,488551763,1001466562,Not Truck
232259584,632586518,593424828,55806241,201119669,123367842,437432524,233159358,287775844,93291928,373032106,370240564,184782334,82686799,404961099,76429967,345664085,233499282,244779109,80959204,565899695,191075532,86261745,666063982,209866236,428967596,Not Truck
259522560,368279232,352276062,239314034,260759289,386217590,126813675,243763625,199758178,349563694,243800517,221691108,272383751,178739434,194965535,173122644,211167868,142512827,89872092,78950781,132495251,42596232,413852095,303625615,125665694,213248932,Not Truck
475922432,622251975,844578627,321839515,460590749,1191175128,1047204388,822861244,1132081240,873577029,534371340,175559421,1259578712,1077905292,199887690,790960163,529350910,592195444,326860046,1059621128,1199300538,604869543,1133493326,770370062,592626226,618552380,Not Truck
984219648,1041654235,557324702,484955555,473537891,388780619,652418506,358517603,359212102,309813477,505063701,727543216,683871124,957954322,637833828,889570968,264791649,882240054,566281742,1050401012,690957553,874479828,963939913,448351280,848012731,869035180,Not Truck
790167552,676436789,570559050,401863836,369857808,998048944,623943892,865114810,199951071,403563389,928574359,605157108,972389936,644168366,222581477,841770169,685388083,1071802586,503847514,1111062984,1045915111,683647956,430149538,1214947020,1440488276,767558318,Not Truck
649920512,392171492,488947808,772676070,237738901,1090769442,442887434,610582079,504298434,903317128,128224144,1068082309,837385956,937202370,995607890,581695501,714534206,959497527,822341734,958244947,445767853,400008971,653794920,359116670,455541096,297884262,Not Truck
702676992,585916424,744532933,695884701,667607132,1324685996,834374249,860388251,520788995,1210380954,361700210,1285318282,458794158,416202983,842573876,867921422,414407686,923138941,790316453,1119682596,923006359,707641710,947470553,1184302612,983863599,509493007,Not Truck
196607,565941554,134004165,224120510,282074960,197511397,638885502,247612466,595941846,474554859,405568968,841954271,383445513,830706402,142023959,285233527,797232115,528175298,830338290,305867879,982129580,502519327,1065444210,1147242020,303363867,947984639,Not Truck
387776512,599504691,375997597,263178096,540734083,946393063,449172965,263524179,487651281,264585057,430013567,645497783,389265262,97550484,219539456,1352886290,237637823,836391751,991155298,108166835,992291874,664248511,1031072196,245474670,585462922,869177876,Not Truck
483131392,890210406,810279418,214860028,875010497,781524681,942667137,687692073,639469738,723218834,1086047172,790012709,891300067,1399329006,692363700,590377978,468313329,533782569,680475208,1114644412,892892104,766224672,794818055,679112646,1105652744,846786783,Not Truck
913440766,1191107898,858647260,1147263890,636281225,225193435,706299906,1223932244,892970694,959251044,517767824,1124721308,1362650338,709426783,679912343,505994741,1013366415,696023815,498915866,962117755,612183839,891730676,813644891,344582217,457042323,269834100,Not Truck
